ext_id,Latitude,Longitude,label,label_category,lat_grid,lon_grid
680,-37.80251099955116,144.96609100054252,7.527,Low,-37.803,144.966
682,-37.80251400016388,144.96608899991168,7.625,Low,-37.803,144.966
730,-37.80256100009715,144.96596200025076,5.767,Low,-37.803,144.966
1325,-37.80293099955696,144.96562500037183,0.196,Low,-37.803,144.966
1345,-37.80290200025024,144.9655760004151,0.587,Low,-37.803,144.966
1351,-37.80289300025595,144.96555300037735,0.978,Low,-37.803,144.966
1139,-37.803188999782,144.96600100034064,1.173,Low,-37.803,144.966
1142,-37.80318399973659,144.9659929996727,0.489,Low,-37.803,144.966
1215,-37.80309999998939,144.96584900035765,59.629,High,-37.803,144.966
1545,-37.80266199997665,144.9653170001778,30.694,High,-37.803,144.965
1776,-37.80275399972918,144.96608699966268,23.656,Medium,-37.803,144.966
1783,-37.80275699973809,144.96610499997632,19.355,Medium,-37.803,144.966
1830,-37.81868099983015,144.94946300025828,38.612,High,-37.819,144.949
1373,-37.80285799974314,144.9654850001296,0.587,Low,-37.803,144.965
1394,-37.80281500034504,144.9654170002596,1.173,Low,-37.803,144.965
1461,-37.802687000074194,144.96530300055824,29.912,Medium,-37.803,144.965
1902,-37.81880700036367,144.9495039995507,5.865,Low,-37.819,144.95
1645,-37.80270700012116,144.9656250002762,12.317,Medium,-37.803,144.966
1759,-37.802751999914335,144.9660380005614,6.549,Low,-37.803,144.966
2277,-37.82002699990155,144.95082500024444,2.053,Low,-37.82,144.951
1908,-37.81880700028703,144.94951600041293,3.226,Low,-37.819,144.95
1918,-37.81881299969197,144.94955399994,1.466,Low,-37.819,144.95
1929,-37.81882900006923,144.94958499977736,0.88,Low,-37.819,144.95
2005,-37.81903100016048,144.94987099950458,1.271,Low,-37.819,144.95
2442,-37.820801000148656,144.951488999787,10.753,Medium,-37.821,144.951
2866,-37.81926099981122,144.96423699967576,24.633,Medium,-37.819,144.964
2774,-37.81924300009074,144.9645480002916,18.182,Medium,-37.819,144.965
3254,-37.819576000216735,144.9631590005446,3.519,Low,-37.82,144.963
3839,-37.818391000331616,144.97358300016907,9.286,Low,-37.818,144.974
3424,-37.81833200000088,144.97508100038544,2.444,Low,-37.818,144.975
3429,-37.81832999960332,144.97507199990167,2.737,Low,-37.818,144.975
3621,-37.8183519996044,144.97439800015283,13.783,Medium,-37.818,144.974
3799,-37.81838599967735,144.97374799961963,25.611,Medium,-37.818,144.974
4011,-37.81843499971991,144.97278799963556,0.489,Low,-37.818,144.973
5432,-37.81907700029467,144.9735110000729,37.732,High,-37.819,144.974
5137,-37.81871600038814,144.97266800032548,5.376,Low,-37.819,144.973
4989,-37.81861899954075,144.97212600064302,10.459,Medium,-37.819,144.972
5592,-37.81930699955147,144.9739790006424,24.047,Medium,-37.819,144.974
5502,-37.819178999561885,144.9737010005675,0.293,Low,-37.819,144.974
5556,-37.81925799967407,144.9738710002733,6.745,Low,-37.819,144.974
5687,-37.81945700019691,144.97422400061888,6.745,Low,-37.819,144.974
6340,-37.820805999628696,144.97569700052694,3.226,Low,-37.821,144.976
6163,-37.820440000220486,144.97539500061907,0.489,Low,-37.82,144.975
6450,-37.82102100013106,144.97588500047283,15.934,Medium,-37.821,144.976
6617,-37.82136199996833,144.976151000086,1.76,Low,-37.821,144.976
6478,-37.82108800001141,144.97593900028122,0.88,Low,-37.821,144.976
6549,-37.82120599996164,144.97602999994203,1.662,Low,-37.821,144.976
6969,-37.81974899977052,144.9755990005723,1.369,Low,-37.82,144.976
6854,-37.82178500008505,144.9765170002769,29.326,Medium,-37.822,144.977
7094,-37.81961600005209,144.9752089994765,10.362,Medium,-37.82,144.975
7316,-37.81939499954844,144.97463999958455,32.551,High,-37.819,144.975
7568,-37.81921300007212,144.97411300002304,47.898,High,-37.819,144.974
8011,-37.8194800002226,144.94521200043442,59.335,High,-37.819,144.945
9256,-37.81922500032723,144.94554300058078,13.587,Medium,-37.819,144.946
9422,-37.819032999547446,144.9463700002643,29.326,Medium,-37.819,144.946
10020,-37.8114740003213,144.97540300053197,0.88,Low,-37.811,144.975
10108,-37.81130900037557,144.9754329998231,5.767,Low,-37.811,144.975
11395,-37.80225000032193,144.9710659997856,0.684,Low,-37.802,144.971
11661,-37.802833999516906,144.97020600034423,25.318,Medium,-37.803,144.97
11104,-37.80168099976428,144.9717600002398,5.083,Low,-37.802,144.972
8227,-37.81983600029134,144.9439389998401,37.048,High,-37.82,144.944
63416,-37.78189800010546,144.96294399977762,23.167,Medium,-37.782,144.963
63428,-37.78184299967476,144.9628889996499,2.542,Low,-37.782,144.963
63458,-37.78174599993548,144.96283000013088,10.459,Medium,-37.782,144.963
64851,-37.82105600002368,144.9621700006143,99.316,High,-37.821,144.962
64322,-37.8210609995048,144.96188399957484,19.159,Medium,-37.821,144.962
